,Country_Region,Confirmed,Lat,Long_
0,Afghanistan,160692.0,33.93911,67.709953
1,Albania,251015.0,41.1533,20.1683
2,Algeria,243568.0,28.0339,1.6596
3,Andorra,35028.0,42.5063,1.5218000000000003
4,Angola,97812.0,-11.2027,17.8739
5,Antigua and Barbuda,6442.0,17.0608,-61.7964
6,Argentina,8130023.0,-38.4161,-63.616699999999994
7,Armenia,355662.0,40.0691,45.0382
8,Australia,1033364.0,-32.106275,141.3554875
9,Austria,1684608.0,47.5162,14.550099999999999
10,Azerbaijan,640148.0,40.1431,47.5769
11,Bahamas,32282.0,25.025885,-78.035889
12,Bahrain,343400.0,26.0275,50.54999999999999
13,Bangladesh,1731524.0,23.685,90.3563
14,Barbados,41355.0,13.1939,-59.54319999999999
15,Belarus,732104.0,53.7098,27.953400000000002
16,Belgium,515391.0,50.715801160047185,4.551815289028706
17,Belize,49059.0,17.13662,-88.11154133333334
18,Benin,26450.0,9.3077,2.3158
19,Bhutan,4089.0,27.514200000000002,90.4336
20,Bolivia,835170.0,-16.2902,-63.58870000000001
21,Bosnia and Herzegovina,339281.0,43.9159,17.6791
22,Botswana,245904.0,-22.3285,24.684899999999995
23,Brazil,4592100.0,-12.675046997248474,-48.4926497667185
24,Brunei,16179.0,4.5353,114.7277
25,Bulgaria,913592.0,42.7339,25.485799999999998
26,Burkina Faso,20591.0,12.2383,-1.5616000000000003
27,Burma,534503.0,21.9162,95.956
28,Burundi,37170.0,-3.3731,29.918899999999997
29,Cabo Verde,55543.0,16.5388,-23.0418
30,Cambodia,121116.0,11.55,104.9167
31,Cameroon,114113.0,3.848,11.5021
32,Canada,971033.0,54.32424860874503,-92.16084519023282
33,Central African Republic,13840.0,6.6111,20.9394
34,Chad,7075.0,15.454199999999998,18.7322
35,Chile,837738.0,-34.38244541335213,-71.32570689759339
36,China,68320.0,32.72684069392146,111.70507913752914
37,Colombia,1648511.0,5.349119260545906,-74.19242690818858
38,Comoros,7821.0,-11.6455,43.3333
39,Congo (Brazzaville),23485.0,-0.592141124260355,15.778566124260355
40,Congo (Kinshasa),84877.0,-4.06394048372781,21.17652403106509
41,Costa Rica,668209.0,9.7489,-83.7534
42,Cote d'Ivoire,80396.0,7.54,-5.5471
43,Croatia,899174.0,45.1,15.199999999999998
44,Cruise Ship,712.0,0.0,0.0
45,Cuba,1031170.0,21.521757,-77.78116700000002
46,Cyprus,243818.0,35.1264,33.4299
47,Czechia,2833961.0,49.81750000000001,15.473000000000003
48,Denmark,1531518.0,63.287800000000004,-13.3381
49,Diamond Princess,712.0,0.0,0.0
50,Djibouti,15396.0,11.8251,42.5903
51,Dominica,8838.0,15.415,-61.371
52,Dominican Republic,547091.0,18.7357,-70.1627
53,Ecuador,691898.0,-1.8312,-78.1834
54,Egypt,415468.0,26.820553000000004,30.802497999999996
55,El Salvador,127012.0,13.794199999999998,-88.8965
56,Equatorial Guinea,15774.0,1.6508,10.2679
57,Eritrea,9408.0,15.179400000000001,39.7823
58,Estonia,307451.0,58.5953,25.013599999999997
59,Eswatini,68205.0,-26.522499999999997,31.4659
60,Ethiopia,463465.0,9.145,40.4897
61,Fiji,62203.0,-17.7134,178.065
62,Finland,371135.0,61.924110000000006,25.748151
63,France,17310548.0,7.114777723431498,-29.1211158340589
64,Gabon,46469.0,-0.8037,11.6094
65,Gambia,11572.0,13.4432,-15.3101
66,Georgia,1092684.0,42.3154,43.3569
67,Germany,1828368.0,51.56969565143199,10.278799638559025
68,Ghana,156272.0,7.9464999999999995,-1.0232
69,Greece,1848223.0,39.0742,21.8243
70,Grenada,11816.0,12.1165,-61.679
71,Guatemala,677214.0,15.7835,-90.2308
72,Guinea,36013.0,9.9456,-9.6966
73,Guinea-Bissau,7508.0,11.8037,-15.1804
74,Guyana,58196.0,4.860416000000002,-58.93018000000001
75,Haiti,28561.0,18.9712,-72.2852
76,Holy See,29.0,41.9029,12.4534
77,Honduras,391145.0,15.199999999999998,-86.2419
78,Hungary,1471276.0,47.1625,19.5033
79,Iceland,61737.0,64.9631,-19.0208
80,India,7605181.0,23.09995870465376,81.81703686377513
81,Indonesia,4301193.0,-0.7893000000000001,113.9213
82,Iran,6279410.0,32.427908,53.68804599999999
83,Iraq,2175793.0,33.223191,43.679291
84,Ireland,1159271.0,53.1424,-7.6921
85,Israel,2599449.0,31.046051,34.851612
86,Italy,2044124.0,43.04155454339145,12.227333034431105
87,Jamaica,121963.0,18.1096,-77.2975
88,Japan,498549.0,35.33861552379622,135.9968955401725
89,Jordan,1177165.0,31.24,36.51
90,Kazakhstan,1278057.0,48.0196,66.9237
91,Kenya,320766.0,-0.0236,37.9062
92,Kiribati,116.0,-3.3704000000000005,-168.734
93,"Korea, South",777497.0,35.90775700000001,127.76692199999998
94,Kosovo,190793.0,42.602636,20.902977
95,Kuwait,514826.0,29.31166,47.481766
96,Kyrgyzstan,196602.0,41.20438,74.766098
97,Laos,131432.0,19.85627,102.49549600000002
98,Latvia,354734.0,56.8796,24.6032
99,Lebanon,882783.0,33.8547,35.8623
100,Lesotho,32049.0,-29.609998269230772,28.233601153846156
101,Liberia,7243.0,6.428055000000001,-9.429499
102,Libya,413066.0,26.3351,17.228331
103,Liechtenstein,8346.0,47.14,9.55
104,Lithuania,628094.0,55.1694,23.8813
105,Luxembourg,147854.0,49.8153,6.1296
106,MS Zaandam,9.0,0.0,0.0
107,Madagascar,57375.0,-18.766947,46.869107
108,Malawi,84105.0,-13.25430157593985,34.30150492481202
109,Malaysia,808941.0,4.1358999999999995,104.07559375
110,Maldives,125590.0,3.2028,73.2207
111,Mali,29895.0,17.570692,-3.996166000000001
112,Malta,66708.0,35.9375,14.375400000000003
113,Marshall Islands,7.0,7.1315,171.1845
114,Mauritania,57794.0,21.0079,-10.908430769230769
115,Mauritius,25455.0,-20.348404,57.552152
116,Mexico,1174611.0,21.725937635711762,-100.53332220370652
117,Micronesia,1.0,7.4256,150.5508
118,Moldova,423568.0,47.4116,28.3699
119,Monaco,7790.0,43.7333,7.4167
120,Mongolia,435681.0,46.8625,103.8467
121,Montenegro,215950.0,42.708678000000006,19.37439
122,Morocco,1114527.0,31.791700000000002,-7.0926
123,Mozambique,223112.0,-18.665695,35.529562
124,Namibia,155502.0,-22.9576,18.4904
125,Nepal,933451.0,28.166700000000002,84.25
126,Netherlands,931676.0,41.35670464215172,-15.140346795965538
127,New Zealand,15842.0,-31.06865,7.554149999999993
128,Nicaragua,17650.0,12.865415999999998,-85.207229
129,Niger,8616.0,17.607789,8.081666
130,Nigeria,252753.0,9.082,8.6753
131,North Macedonia,261347.0,41.6086,21.7453
132,Norway,690244.0,60.472,8.4689
133,Oman,328326.0,21.512583,55.92325500000001
134,Pakistan,533496.0,31.84597765757291,71.52346346001882
135,Palau,898.0,7.514999999999999,134.5825
136,Panama,669860.0,8.538,-80.7821
137,Papua New Guinea,36596.0,-6.314993,143.95555
138,Paraguay,554182.0,-23.4425,-58.4438
139,Peru,1295823.0,-10.630982769356525,-75.2765934969265
140,Philippines,3475293.0,12.879721,121.77401700000001
141,Poland,4637776.0,51.9194,19.1451
142,Portugal,2377818.0,39.3999,-8.2245
143,Qatar,330848.0,25.354799999999997,51.18390000000001
144,Romania,2083151.0,45.9432,24.9668
145,Russia,2232836.0,54.55616381001173,62.18185237094022
146,Rwanda,128509.0,-1.9402999999999997,29.8739
147,Saint Kitts and Nevis,5331.0,17.357822,-62.782998
148,Saint Lucia,20192.0,13.9094,-60.9789
149,Saint Vincent and the Grenadines,9385.0,12.984300000000001,-61.2872
150,Samoa,28.0,-13.759,-172.1046
151,San Marino,11995.0,43.9424,12.457799999999999
152,Sao Tome and Principe,5856.0,0.18639231467473524,6.613096349470499
153,Saudi Arabia,666259.0,23.885942,45.079162
154,Senegal,84613.0,14.4974,-14.4524
155,Serbia,1579847.0,44.0165,21.0059
156,Seychelles,35606.0,-4.6796,55.492
157,Sierra Leone,7608.0,8.460555000000001,-11.779889
158,Singapore,327602.0,1.2833,103.8333
159,Slovakia,1494945.0,48.669,19.699
160,Slovenia,642342.0,46.1512,14.995500000000002
161,Solomon Islands,676.0,-9.645699999999998,160.1562
162,Somalia,25388.0,5.152149,46.199616
163,South Africa,3590399.0,-30.559500000000003,22.9375
164,South Sudan,16752.0,6.8770000000000024,31.307000000000002
165,Spain,1911069.0,39.766812681665265,-3.6826349332211943
166,Sri Lanka,604581.0,7.873054,80.77179699999998
167,Sudan,56595.0,12.8628,30.2176
168,Summer Olympics 2020,865.0,35.6491,139.7737
169,Suriname,72088.0,3.9193,-56.027800000000006
170,Sweden,489729.0,59.68328651346881,15.75369167257404
