Last_Update,Country_Region,Confirmed,New_Cases
2020-03-22,Russia,367.0,
2020-03-23,Russia,438.0,71.0
2020-03-24,Russia,495.0,57.0
2020-03-25,Russia,658.0,163.0
2020-03-26,Russia,840.0,182.0
2020-03-27,Russia,1036.0,196.0
2020-03-28,Russia,1264.0,228.0
2020-03-29,Russia,1534.0,270.0
2020-03-30,Russia,1836.0,302.0
2020-03-31,Russia,2337.0,501.0
2020-04-01,Russia,2777.0,440.0
2020-04-02,Russia,3548.0,771.0
2020-04-03,Russia,4149.0,601.0
2020-04-04,Russia,4731.0,582.0
2020-04-05,Russia,5389.0,658.0
2020-04-06,Russia,6343.0,954.0
2020-04-07,Russia,7497.0,1154.0
2020-04-08,Russia,8672.0,1175.0
2020-04-09,Russia,10131.0,1459.0
2020-04-10,Russia,11917.0,1786.0
2020-04-11,Russia,13584.0,1667.0
2020-04-12,Russia,15770.0,2186.0
2020-04-13,Russia,18328.0,2558.0
2020-04-14,Russia,21102.0,2774.0
2020-04-15,Russia,24490.0,3388.0
2020-04-16,Russia,27938.0,3448.0
2020-04-17,Russia,32008.0,4070.0
2020-04-18,Russia,36793.0,4785.0
2020-04-19,Russia,42853.0,6060.0
2020-04-20,Russia,47121.0,4268.0
2020-04-21,Russia,52763.0,5642.0
2020-04-22,Russia,57999.0,5236.0
2020-04-24,Russia,62773.0,4774.0
2020-04-25,Russia,68622.0,5849.0
2020-04-26,Russia,74588.0,5966.0
2020-04-27,Russia,80949.0,6361.0
2020-04-28,Russia,87147.0,6198.0
2020-04-29,Russia,93558.0,6411.0
2020-04-30,Russia,99399.0,5841.0
2020-05-01,Russia,106498.0,7099.0
2020-05-02,Russia,114431.0,7933.0
2020-05-03,Russia,124054.0,9623.0
2020-05-04,Russia,134687.0,10633.0
2020-05-05,Russia,145268.0,10581.0
2020-05-06,Russia,155370.0,10102.0
2020-05-07,Russia,165929.0,10559.0
2020-05-08,Russia,177160.0,11231.0
2020-05-09,Russia,187859.0,10699.0
2020-05-10,Russia,198676.0,10817.0
2020-05-11,Russia,209688.0,11012.0
2020-05-12,Russia,221344.0,11656.0
2020-05-13,Russia,232243.0,10899.0
2020-05-14,Russia,242271.0,10028.0
2020-05-15,Russia,252245.0,9974.0
2020-05-16,Russia,262843.0,10598.0
2020-05-17,Russia,272043.0,9200.0
2020-05-18,Russia,281752.0,9709.0
2020-05-19,Russia,290678.0,8926.0
2020-05-20,Russia,299941.0,9263.0
2020-05-21,Russia,308705.0,8764.0
2020-05-22,Russia,317554.0,8849.0
2020-05-23,Russia,326448.0,8894.0
2020-05-24,Russia,335882.0,9434.0
2020-05-25,Russia,344481.0,8599.0
2020-05-26,Russia,353427.0,8946.0
2020-05-27,Russia,362342.0,8915.0
2020-05-28,Russia,370680.0,8338.0
2020-05-29,Russia,379051.0,8371.0
